date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:16	238/238	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Sep%202022%2019:31:33%20GMT	http://theemon.com/robots.txt		(from )
00:59:18	77858/77858	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Sep%202022%2019:31:35%20GMT	http://theemon.com/c/charity-wp/LivePreview/SingleCause/	C:/Users/hjha0/OneDrive/Desktop/SEVADHAM_PROJECT/theemon.com/c/charity-wp/LivePreview/SingleCause/index.html	(from )
00:59:18	1103/1103	---M-Z	200	added ('OK')	text/css	etag:%2244f-5192a760652c0-gzip%22	http://theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.0.3	C:/Users/hjha0/OneDrive/Desktop/SEVADHAM_PROJECT/theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/contact-form-7/includes/css/stylesfa0c.css	(from http://theemon.com/c/charity-wp/LivePreview/SingleCause/)
00:59:19	310/310	---M-Z	200	added ('OK')	text/css	etag:%22136-5192a7b8221c0-gzip%22	http://theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/easypay/public/css/wppd-public.css?ver=1.0.0	C:/Users/hjha0/OneDrive/Desktop/SEVADHAM_PROJECT/theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/easypay/public/css/wppd-public8a54.css	(from http://theemon.com/c/charity-wp/LivePreview/SingleCause/)
00:59:20	15585/15585	---M-Z	200	added ('OK')	text/xml	etag:%222173a5d7f2042558205696a86a1690ec-gzip%22	http://theemon.com/c/charity-wp/LivePreview/SingleCause/feed/	C:/Users/hjha0/OneDrive/Desktop/SEVADHAM_PROJECT/theemon.com/c/charity-wp/LivePreview/SingleCause/feed/index.html	(from http://theemon.com/c/charity-wp/LivePreview/SingleCause/)
00:59:20	2891/2891	---M-Z	200	added ('OK')	text/xml	etag:%228b6cf1f96fcb6efe32afac758c74ab24-gzip%22	http://theemon.com/c/charity-wp/LivePreview/SingleCause/comments/feed/	C:/Users/hjha0/OneDrive/Desktop/SEVADHAM_PROJECT/theemon.com/c/charity-wp/LivePreview/SingleCause/comments/feed/index.html	(from http://theemon.com/c/charity-wp/LivePreview/SingleCause/)
00:59:20	811/811	---M-Z	200	added ('OK')	text/xml	etag:%228b6cf1f96fcb6efe32afac758c74ab24-gzip%22	http://theemon.com/c/charity-wp/LivePreview/SingleCause/home-4/feed/	C:/Users/hjha0/OneDrive/Desktop/SEVADHAM_PROJECT/theemon.com/c/charity-wp/LivePreview/SingleCause/home-4/feed/index.html	(from http://theemon.com/c/charity-wp/LivePreview/SingleCause/)
00:59:20	15027/15027	---M-Z	200	added ('OK')	text/css	etag:%223ab3-5192a7a41b280-gzip%22	http://theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/events-manager/includes/css/events_manager.css?ver=5.55	C:/Users/hjha0/OneDrive/Desktop/SEVADHAM_PROJECT/theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/events-manager/includes/css/events_manager1192.css	(from http://theemon.com/c/charity-wp/LivePreview/SingleCause/)
00:59:20	55177/55177	---M-Z	200	added ('OK')	text/css	etag:%22d789-5192a757cfe80-gzip%22	http://theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/revslider/rs-plugin/css/settings.css?ver=4.6.5	C:/Users/hjha0/OneDrive/Desktop/SEVADHAM_PROJECT/theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/revslider/rs-plugin/css/settings1dc6.css	(from http://theemon.com/c/charity-wp/LivePreview/SingleCause/)
00:59:21	15307/15307	---M-Z	200	added ('OK')	text/css	etag:%223bcb-5192a7bddaf40-gzip%22	http://theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=2.3.7	C:/Users/hjha0/OneDrive/Desktop/SEVADHAM_PROJECT/theemon.com/c/charity-wp/LivePreview/SingleCause/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutc0b8.css	(from http://theemon.com/c/charity-wp/LivePreview/SingleCause/)
